Sample ID,Depth_cm,Latitude,Longitude
B1,75,44.963263,-111.079814
B2,76,44.963262,-111.079782
B3,76,44.963248,-111.079749
B4,77,44.963209,-111.079771
B5,77,44.963178,-111.079776
B6,72,44.963199,-111.079834
B7,79,44.963188,-111.079848
B8,75,44.963208,-111.07988
B9,82,44.963242,-111.07989
B10,79,44.963221,-111.079937
B11,85,44.963253,-111.079935
B12,81,44.963274,-111.079943
B13,85,44.963309,-111.079906
B14,81,44.963302,-111.079871
B15,80,44.963335,-111.079812
B16,76,44.963316,-111.07979
B17,72,44.963305,-111.079761
B18,75,44.963292,-111.079751
B19,75,44.963278,-111.079801
B20,80,44.963266,-111.079825
